Meninggal Dunia Harian;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?;Total
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;275
14 Oct;3;7;8;;;2;17;;13;10;17;;5;2;3;;6;2;6;1;1;5;1;2;;5;12;;;;1;;;;;129
15 Oct;3;1;2;;;2;20;;7;28;12;;7;;1;;1;;3;4;1;4;2;;;1;8;;;3;1;;;1;;112
16 Oct;6;1;1;;1;;24;;;9;19;;3;1;2;;;;;3;2;3;2;;;;2;;;;;;;;;79
17 Oct;1;2;7;;3;;21;;;10;13;;1;;2;;;1;;2;;5;;2;;1;8;;;1;4;;;;;84
18 Oct;7;3;5;1;1;1;17;;;3;15;1;2;;2;1;1;;4;2;1;2;2;1;1;2;4;;;1;;;;;;80
19 Oct;;3;5;;;;14;1;21;5;18;;3;;2;;1;2;2;13;2;4;;;1;2;4;;1;2;;;;;;106
20 Oct;2;2;3;;1;;22;2;20;20;20;;;;2;;;2;2;3;2;4;;;1;1;3;;;2;2;;;1;;117
21 Oct;3;2;1;;;2;21;;16;13;24;;5;;2;1;;1;3;5;2;2;;;2;1;9;;1;6;;;;1;;123
22 Oct;2;2;4;;1;;16;;23;10;13;;8;;3;;;1;1;3;2;3;2;;;2;6;;;;;;;;;102
23 Oct;4;6;4;;;;21;;10;15;12;;1;2;3;;9;1;7;7;;2;1;2;1;2;6;;;2;;;;;;118
24 Oct;6;10;2;;1;;20;;19;20;16;;2;1;3;;7;1;1;;1;;1;;2;3;9;;1;2;;;;;;128
25 Oct;1;1;8;;1;;18;;11;8;16;;3;;3;;1;2;;6;;2;2;4;;;3;;;;;;;4;;94
26 Oct;5;2;3;;;;13;;15;16;20;2;2;3;3;;2;;2;3;;7;;;;3;4;;;2;5;;;;;112
27 Oct;4;4;;;;1;11;1;14;12;21;;4;;3;;;;1;9;2;1;1;;;4;6;;2;;;;;;;101
28 Oct;6;2;1;;;1;16;1;6;10;20;4;1;;2;;1;;;4;2;2;;2;1;2;6;1;;2;5;2;;;;100
29 Oct;;2;2;;;1;14;;;9;16;1;5;;2;;3;;2;9;1;3;;10;;3;6;;;;;;;;;89
30 Oct;3;3;2;;;1;14;;4;14;18;3;1;;1;;1;1;;5;;1;1;1;;1;6;;;;;;;;;81
31 Oct;1;2;3;;1;1;19;;1;11;10;;10;;3;;;1;1;4;4;4;1;3;;2;5;;;;;;;;;87
1 Nov;;2;2;;;;19;;2;11;8;1;5;;2;;;;10;5;;2;;;;2;2;;;1;;;;;;74
2 Nov;;2;4;;3;1;18;;11;10;23;;2;2;;1;;1;5;5;1;6;1;1;2;;2;;;;;;;;;101
3 Nov;2;1;2;;2;1;10;1;5;23;19;1;4;1;1;1;2;;6;4;1;4;;;2;3;2;;;;;1;2;1;;102
4 Nov;5;1;3;;;2;15;;15;15;20;;1;2;;;;2;5;5;2;6;2;2;;4;4;;;2;;;;;;113
